time,timezone,latitude,longitude,summary,sunriseTime,sunsetTime,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,daylight,city
2019-11-07 00:00:00,Asia/Kolkata,17.123184,79.208824,Humid and mostly cloudy throughout the day.,2019-11-07 06:15:00,2019-11-07 17:41:00,0.01,0.0434,2019-11-07 18:03:00,0.05,rain,21.39,2019-11-07 03:44:00,31.6,2019-11-07 13:25:00,22.4,2019-11-07 03:47:00,35.16,2019-11-07 13:18:00,11:26:00,Telangana
2019-11-07 00:00:00,Asia/Kolkata,11.059821,78.387451,Possible light rain overnight and in the evening.,2019-11-07 06:11:00,2019-11-07 17:52:00,0.3933,1.2897,2019-11-07 03:08:00,0.79,rain,24.02,2019-11-07 22:50:00,33.79,2019-11-07 15:09:00,25.03,2019-11-07 22:50:00,41.43,2019-11-07 17:25:00,11:41:00,Tamil Nadu
2019-11-07 00:00:00,Asia/Kolkata,29.238478,76.431885,Possible light rain in the morning.,2019-11-07 06:43:00,2019-11-07 17:36:00,0.1796,0.5581,2019-11-07 05:19:00,0.71,rain,18.27,2019-11-07 07:11:00,27.11,2019-11-07 13:31:00,18.54,2019-11-07 07:11:00,27.29,2019-11-07 13:30:00,10:53:00,Haryana
2019-11-07 00:00:00,Asia/Kolkata,21.295132,81.828232,Partly cloudy throughout the day.,2019-11-07 06:10:00,2019-11-07 17:25:00,0.0007,0.0043,2019-11-07 00:00:00,0.02,rain,18.15,2019-11-07 04:33:00,29.89,2019-11-07 13:27:00,18.69,2019-11-07 04:34:00,30.79,2019-11-07 13:26:00,11:15:00,Chhattisgarh
2019-11-07 00:00:00,Asia/Kolkata,23.473324,77.947998,Possible light rain in the evening.,2019-11-07 06:28:00,2019-11-07 17:38:00,0.2695,1.6678,2019-11-07 17:41:00,0.67,rain,19.48,2019-11-07 04:33:00,30.61,2019-11-07 13:19:00,20.11,2019-11-07 04:34:00,32.16,2019-11-07 13:12:00,11:10:00,Madhya Pradesh
2019-11-06 00:00:00,Asia/Kolkata,29.238478,76.431885,Clear throughout the day.,2019-11-06 06:42:00,2019-11-06 17:36:00,0.0088,0.0771,2019-11-06 20:28:00,0.06,rain,16.49,2019-11-06 06:28:00,31.77,2019-11-06 13:39:00,16.76,2019-11-06 06:28:00,31.49,2019-11-06 13:39:00,10:54:00,Haryana
2019-11-06 00:00:00,Asia/Kolkata,23.473324,77.947998,Partly cloudy throughout the day.,2019-11-06 06:28:00,2019-11-06 17:38:00,0.0028,0.0112,2019-11-06 17:25:00,0.03,rain,19.2,2019-11-06 04:30:00,31.09,2019-11-06 15:05:00,19.56,2019-11-06 04:30:00,31.07,2019-11-06 13:35:00,11:10:00,Madhya Pradesh
2019-11-06 00:00:00,Asia/Kolkata,11.059821,78.387451,Humid and foggy throughout the day.,2019-11-06 06:11:00,2019-11-06 17:52:00,0.0467,0.2095,2019-11-06 20:45:00,0.17,rain,25.53,2019-11-06 07:12:00,33.05,2019-11-06 14:38:00,26.62,2019-11-06 05:31:00,39.3,2019-11-06 14:33:00,11:41:00,Tamil Nadu
2019-11-06 00:00:00,Asia/Kolkata,21.295132,81.828232,Partly cloudy throughout the day.,2019-11-06 06:09:00,2019-11-06 17:26:00,0.0021,0.0063,2019-11-06 16:00:00,0.03,rain,19.48,2019-11-06 04:30:00,30.62,2019-11-06 13:47:00,20.08,2019-11-06 04:30:00,31.47,2019-11-06 13:21:00,11:17:00,Chhattisgarh
2019-11-06 00:00:00,Asia/Kolkata,17.123184,79.208824,Humid and partly cloudy throughout the day.,2019-11-06 06:15:00,2019-11-06 17:42:00,0.0104,0.0337,2019-11-06 20:26:00,0.07,rain,21.43,2019-11-06 04:32:00,31.91,2019-11-06 13:28:00,22.45,2019-11-06 04:33:00,35.57,2019-11-06 13:21:00,11:27:00,Telangana
2019-11-05 00:00:00,Asia/Kolkata,21.295132,81.828232,Partly cloudy throughout the day.,2019-11-05 06:09:00,2019-11-05 17:26:00,0.0036,0.0086,2019-11-05 11:54:00,0.03,rain,20.02,2019-11-05 04:30:00,32.08,2019-11-05 14:06:00,20.81,2019-11-05 04:29:00,34.12,2019-11-05 14:16:00,11:17:00,Chhattisgarh
2019-11-05 00:00:00,Asia/Kolkata,29.238478,76.431885,Clear throughout the day.,2019-11-05 06:41:00,2019-11-05 17:37:00,0.0035,0.0087,2019-11-05 11:57:00,0.01,rain,17.62,2019-11-05 04:31:00,31.26,2019-11-05 14:31:00,17.89,2019-11-05 04:31:00,30.98,2019-11-05 14:31:00,10:56:00,Haryana
2019-11-05 00:00:00,Asia/Kolkata,17.123184,79.208824,Humid throughout the day.,2019-11-05 06:14:00,2019-11-05 17:42:00,0.0037,0.0096,2019-11-05 11:46:00,0.02,rain,21.7,2019-11-05 04:24:00,32.52,2019-11-05 13:42:00,22.74,2019-11-05 04:24:00,36.08,2019-11-05 13:58:00,11:28:00,Telangana
2019-11-05 00:00:00,Asia/Kolkata,23.473324,77.947998,Clear throughout the day.,2019-11-05 06:27:00,2019-11-05 17:39:00,0.0036,0.0086,2019-11-05 11:54:00,0.03,rain,19.42,2019-11-05 04:30:00,30.55,2019-11-05 13:30:00,20.07,2019-11-05 04:31:00,30.81,2019-11-05 13:16:00,11:12:00,Madhya Pradesh
2019-11-05 00:00:00,Asia/Kolkata,11.059821,78.387451,Humid and foggy throughout the day.,2019-11-05 06:10:00,2019-11-05 17:52:00,0.0768,0.6514,2019-11-05 14:30:00,0.13,rain,24.42,2019-11-05 05:32:00,32.92,2019-11-05 16:22:00,25.51,2019-11-05 05:31:00,39.04,2019-11-05 13:25:00,11:42:00,Tamil Nadu
2019-11-04 00:00:00,Asia/Kolkata,23.473324,77.947998,Clear throughout the day.,2019-11-04 06:27:00,2019-11-04 17:40:00,0.0125,0.0877,2019-11-04 14:31:00,0.06,rain,20.53,2019-11-04 03:25:00,29.52,2019-11-04 13:30:00,21.25,2019-11-04 03:26:00,31.14,2019-11-04 13:27:00,11:13:00,Madhya Pradesh
2019-11-04 00:00:00,Asia/Kolkata,21.295132,81.828232,Clear throughout the day.,2019-11-04 06:08:00,2019-11-04 17:27:00,0.0013,0.006,2019-11-04 23:00:00,0.05,rain,20.04,2019-11-04 04:35:00,31.82,2019-11-04 13:33:00,20.67,2019-11-04 04:29:00,32.86,2019-11-04 13:29:00,11:19:00,Chhattisgarh
2019-11-04 00:00:00,Asia/Kolkata,17.123184,79.208824,Humid throughout the day.,2019-11-04 06:14:00,2019-11-04 17:42:00,0.0013,0.0056,2019-11-04 23:00:00,0.05,rain,21.86,2019-11-04 03:56:00,32.6,2019-11-04 13:27:00,23,2019-11-04 04:04:00,36.26,2019-11-04 13:10:00,11:28:00,Telangana
2019-11-04 00:00:00,Asia/Kolkata,11.059821,78.387451,Humid and foggy throughout the day.,2019-11-04 06:10:00,2019-11-04 17:53:00,0.0907,0.6833,2019-11-04 14:30:00,0.28,rain,24.15,2019-11-04 00:00:00,32.4,2019-11-04 13:35:00,25.14,2019-11-04 00:00:00,37.5,2019-11-04 13:06:00,11:43:00,Tamil Nadu
2019-11-04 00:00:00,Asia/Kolkata,29.238478,76.431885,Clear throughout the day.,2019-11-04 06:40:00,2019-11-04 17:38:00,0.0015,0.006,2019-11-04 23:00:00,0.02,rain,17.94,2019-11-04 04:30:00,30.22,2019-11-04 13:38:00,18.39,2019-11-04 04:31:00,29.92,2019-11-04 13:34:00,10:58:00,Haryana
2019-11-03 00:00:00,Asia/Kolkata,29.238478,76.431885,Mostly cloudy throughout the day.,2019-11-03 06:40:00,2019-11-03 17:39:00,0.0898,0.3745,2019-11-03 09:32:00,0.28,rain,18.81,2019-11-03 05:11:00,29.51,2019-11-03 13:36:00,19.07,2019-11-03 05:11:00,29.86,2019-11-03 13:36:00,10:59:00,Haryana
2019-11-03 00:00:00,Asia/Kolkata,17.123184,79.208824,Possible light rain in the morning.,2019-11-03 06:13:00,2019-11-03 17:43:00,0.221,0.6608,2019-11-03 10:25:00,0.56,rain,22.28,2019-11-03 05:02:00,30.17,2019-11-03 13:32:00,23.55,2019-11-03 05:04:00,35.45,2019-11-03 13:31:00,11:30:00,Telangana
2019-11-03 00:00:00,Asia/Kolkata,23.473324,77.947998,Mostly cloudy throughout the day.,2019-11-03 06:26:00,2019-11-03 17:40:00,0.0095,0.0816,2019-11-03 10:26:00,0.16,rain,20.9,2019-11-03 05:19:00,28.25,2019-11-03 11:31:00,21.77,2019-11-03 05:19:00,29.32,2019-11-03 11:29:00,11:14:00,Madhya Pradesh
2019-11-03 00:00:00,Asia/Kolkata,11.059821,78.387451,Possible light rain overnight.,2019-11-03 06:10:00,2019-11-03 17:53:00,0.3899,1.2948,2019-11-03 20:39:00,0.82,rain,24.59,2019-11-03 23:00:00,34.05,2019-11-03 16:28:00,25.64,2019-11-03 23:00:00,40.62,2019-11-03 16:24:00,11:43:00,Tamil Nadu
2019-11-03 00:00:00,Asia/Kolkata,21.295132,81.828232,Clear throughout the day.,2019-11-03 06:08:00,2019-11-03 17:27:00,0.0015,0.0052,2019-11-03 10:00:00,0.03,rain,19.37,2019-11-03 05:11:00,31.88,2019-11-03 13:36:00,20.11,2019-11-03 05:11:00,33.47,2019-11-03 13:20:00,11:19:00,Chhattisgarh
2019-11-02 00:00:00,Asia/Kolkata,11.059821,78.387451,Possible light rain overnight.,2019-11-02 06:09:00,2019-11-02 17:53:00,0.0401,0.1525,2019-11-02 14:29:00,0.24,rain,24.18,2019-11-02 06:19:00,33.06,2019-11-02 15:38:00,25.34,2019-11-02 06:19:00,39.61,2019-11-02 15:43:00,11:44:00,Tamil Nadu
2019-11-02 00:00:00,Asia/Kolkata,17.123184,79.208824,Humid and mostly cloudy throughout the day.,2019-11-02 06:13:00,2019-11-02 17:43:00,0.0415,0.3518,2019-11-02 06:33:00,0.26,rain,21.62,2019-11-02 04:27:00,30.44,2019-11-02 13:22:00,22.78,2019-11-02 04:28:00,35.85,2019-11-02 13:19:00,11:30:00,Telangana
2019-11-02 00:00:00,Asia/Kolkata,21.295132,81.828232,Humid and partly cloudy throughout the day.,2019-11-02 06:07:00,2019-11-02 17:28:00,0.0021,0.0043,2019-11-02 00:00:00,0.05,rain,19.5,2019-11-02 04:29:00,31.16,2019-11-02 13:27:00,20.19,2019-11-02 04:30:00,33.19,2019-11-02 13:05:00,11:21:00,Chhattisgarh
2019-11-02 00:00:00,Asia/Kolkata,23.473324,77.947998,Mostly cloudy throughout the day.,2019-11-02 06:25:00,2019-11-02 17:41:00,0.0706,0.2902,2019-11-02 11:32:00,0.4,rain,19.78,2019-11-02 04:30:00,29.49,2019-11-02 12:23:00,20.53,2019-11-02 04:30:00,32.06,2019-11-02 12:09:00,11:16:00,Madhya Pradesh
2019-11-02 00:00:00,Asia/Kolkata,29.238478,76.431885,Mostly cloudy throughout the day.,2019-11-02 06:39:00,2019-11-02 17:39:00,0.0072,0.0729,2019-11-02 14:32:00,0.04,rain,19.12,2019-11-02 04:27:00,31.79,2019-11-02 13:25:00,19.39,2019-11-02 04:27:00,31.51,2019-11-02 13:25:00,11:00:00,Haryana
